isin;issuer;name;coupon;next_ex_date;ask;bid;Growth_1D;Growth_3Ds;Growth_1W;Growth_2W;Growth_4W;Growth_1D_Pct;Growth_3Ds_Pct;Growth_1W_Pct;Growth_2W_Pct;Growth_4W_Pct;Last_Update_DT;Par_Value
IT0006773052;Marex Financial;30m Wof Memory Phoenix Autocall on Nasdaq-100 Index, iShares MSCI Brazil ETF, iShares China Large-Cap ETF, EURO STOXX Banks Price EUR in EUR;7.92 EUR (9.50% p.a.) Monthly;2026-07-27;921.72;911.71;-4.21;-2.04;-13.19;N/A;N/A;-0.46;-0.22;-1.43;N/A;N/A;2026-07-03 13:00:55;1000
NLBNPIT21T57;BNP Paribas Issuance B.V.;Cash Collect Step Down 95% (Mercedes-Benz Group AG, Ford Motor Co, Tesla Inc);1.20% of Notional Amount per period Monthly;N/A;92.09;91.09;-0.37;1.93;3.41;1.62;-2.25;-0.4;2.16;3.89;1.81;-2.41;2026-07-03 15:01:01;100
NLBNPIT304J2;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (Leonardo, Poste Italiane, Enel);0.98% per period Monthly;N/A;102.88;101.88;0.34;2.99;3.62;-0.53;2.1;0.33;3.02;3.68;-0.52;2.1;2026-07-03 15:01:01;100
NLBNPIT304N4;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (ASML, STLAM, CBK, ENR);1.65% of Nominal Amount Monthly;N/A;97.34;96.34;-0.08;-0.55;0.93;-4.14;-2.84;-0.08;-0.57;0.97;-4.12;-2.86;2026-07-03 15:01:01;100
CH1550424928;Leonteq Securities AG;Certificato Express in EUR su Banco BPM, Davide Campari-Milano, Enel, Leonardo (BAMI, CPR, ENEL, LDO);EUR 10.00 Monthly;N/A;1000.48;990.48;6.32;23.28;25.67;-6.48;22.29;0.64;2.41;2.66;-0.65;2.3;2026-07-03 15:01:01;1000
NLBNPIT305W2;BNP Paribas Issuance B.V.;Low Barrier Cash Collect Memory Step Down on Space Exploration Technologies Corp;1.15% Monthly;2026-08-03;N/A;990;0;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;2026-07-03 15:01:01;1000
NLBNPIT30309;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (BMPS, GLE, CABK, BBVA);Conditional and Certain coupons Variable;N/A;111.12;110.12;-0.02;0.21;0.31;-0.71;1.28;-0.02;0.19;0.28;-0.64;1.18;2026-07-03 15:01:01;100
NLBNPIT305E0;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down;0.90% Monthly;2026-07-23;101.1;100.1;0.24;1.48;2.4;N/A;N/A;0.24;1.5;2.46;N/A;N/A;2026-07-03 15:01:01;100
NLBNPIT305H3;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down;0.95% Monthly;2026-07-23;99.98;98.98;0.29;1.89;2.12;N/A;N/A;0.29;1.95;2.19;N/A;N/A;2026-07-03 15:01:01;100
NLBNPIT305X0;BNP Paribas Issuance B.V.;Cash Collect Memory Booster Protection Step Down on Space Exploration Technologies Corp (SpaceX);1.00% Monthly;2026-08-03;N/A;990;0;0;N/A;N/A;N/A;0;0;N/A;N/A;N/A;2026-07-03 15:01:01;1000
NLBNPIT303Y3;BNP Paribas Issuance B.V.;Maxi Cash Collect Step Down (BPE, AZM, G, PST);20% or 1% Quarterly;2026-11-12;82.65;81.65;0.17;1.61;1.97;-1.67;-17.41;0.21;2.01;2.47;-2;-17.58;2026-07-03 15:01:01;100
NLBNPIT303P1;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (A2A, Engie, Veolia, Enel);Variable Variable;N/A;103.6;102.6;0.89;1.16;1.14;1.29;2.3;0.88;1.14;1.12;1.27;2.29;2026-07-03 15:01:01;100
NLBNPIT304P9;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down (ENEL, ENR, ELE);1.10% of Notional Monthly;2026-07-30;100.99;99.99;0.41;0.67;2.29;-0.68;2.27;0.41;0.67;2.34;-0.68;2.32;2026-07-03 15:01:01;100
CH1550425057;Leonteq Securities AG;Phoenix Autocallable on Banca Monte dei Paschi Siena, Barclays, Commerzbank, Société Générale;EUR 12.50 Monthly;N/A;996.7;986.7;-1.35;-7.56;-10.22;-46.16;-27.95;-0.14;-0.76;-1.03;-4.47;-2.75;2026-07-03 15:01:01;1000
NLBNPIT2XBR3;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down;1.27% of Notional Amount Monthly;2026-07-16;97.03;96.03;-0.29;0.67;-1.29;-3.18;-1;-0.3;0.7;-1.33;-3.21;-1.03;2026-07-03 15:01:01;100
